feature,amplitude,percent_beyond_1_std,maximum,max_slope,median,median_absolute_deviation,percent_close_to_median,minimum,skew,std,weighted_average
267,214,0.302660483,214,6074.576271,-17,41,0.513058335,-214,0.244638547,66.64574748,-13.41298511
268,137.5,0.291920918,108,5553.898305,-37,23,0.582133268,-167,-0.131036806,37.127468,-37.24945082
269,146,0.320234318,117,10413.55932,2,30,0.488650232,-175,-0.292760844,43.90786582,0.296802538
270,189,0.302416402,145,10240,-33,33,0.553575787,-233,-0.221882463,51.99977442,-32.00536978
271,175,0.302172321,195,6768.813559,25,35,0.495484501,-155,0.020577371,55.30027001,28.57188186
272,86.5,0.302660483,70,5206.779661,-5,12,0.670246522,-103,-0.279301303,18.75190973,-6.214791311
273,96.5,0.312423725,100,4165.423729,3,19,0.515743227,-93,-0.010771747,28.41860932,3.302416402
274,81,0.299243349,62,3297.627119,-13,17,0.477666585,-100,-0.138478873,25.84453436,-13.6783012
275,152,0.304613132,103,9545.762712,-15,28,0.530388089,-201,-0.290209601,42.97767502,-16.75347815
276,236.5,0.343177935,198,29157.9661,8,47,0.501830608,-275,-0.082984607,67.38538746,8.385403954
277,91,0.319257994,66,10413.55932,-3,18,0.503783256,-116,-0.339490237,27.02273759,-4.448865023
278,191,0.292653161,143,11454.91525,-18,32,0.582377349,-239,-0.167032633,50.58955722,-19.6331462
279,184,0.270685868,174,11628.47458,2,31,0.579692458,-194,-0.48924803,53.73040012,-4.025628509
280,126,0.325848182,81,5033.220339,-40,24,0.515255065,-171,0.006625763,35.86161086,-38.47595802
281,204,0.306077618,272,6248.135593,25,36,0.547961923,-136,0.304005421,56.23118276,27.57627532
282,143.5,0.25701733,138,6768.813559,25,20,0.664632658,-149,-0.500937634,33.96206444,24.8454967
283,254,0.285086649,189,29678.64407,-51,42,0.577007567,-319,-0.05437402,67.39240003,-52.63216988
284,157,0.231632902,149,10587.11864,36,23,0.642177203,-165,-1.223013044,43.98092214,28.51574323
285,277.5,0.302416402,256,12669.83051,-3,45,0.58725897,-299,-0.070192506,70.98743938,-4.496704906
286,130.5,0.291920918,74,5206.779661,-59,22,0.581889187,-187,-0.188357162,35.65994506,-60.8391506
287,127.5,0.314132292,121,8157.288136,20,24,0.523065658,-134,-0.311959396,36.37110765,18.8198682
288,253,0.246521845,282,20306.44068,-2,32,0.69807176,-224,-0.480148618,59.5603114,-8.954600928
289,92.5,0.283378082,68,5553.898305,-3,14,0.62728826,-117,-0.434865218,22.74690418,-3.938491579
290,133.5,0.274103002,129,6074.576271,-6,22,0.590187942,-138,-0.135374568,35.94102206,-7.310226995
291,248.5,0.290944594,280,10760.67797,25,40,0.600439346,-217,0.162571874,63.03704293,27.88308518
292,139.5,0.298267025,59,5727.457627,-37,24,0.546497437,-220,-0.467726988,38.70501668,-37.86014157
293,188.5,0.297534782,196,10760.67797,-7,32,0.582865511,-181,0.182599267,47.72806407,-4.089333659
294,224,0.275323407,201,29852.20339,14,31,0.639980474,-247,-0.3481841,55.57889339,12.09128631
295,498.5,0.307298023,623,34885.42373,-3,81,0.589943861,-374,0.447463152,125.0203738,8.336343666
296,180,0.30192824,244,16661.69492,29,29,0.580668782,-116,0.108581358,46.32282209,27.97998536
297,163,0.282889919,128,8157.288136,-13,29,0.548206004,-198,-0.190354722,45.73320989,-14.71320478
298,264,0.288503783,251,10760.67797,1,40,0.61093483,-277,-0.043897534,66.82581292,-0.097632414
299,163,0.297046619,153,7115.932203,-7,32,0.501586527,-173,-0.187975424,51.03568099,-6.296802538
300,101,0.30656578,45,6248.135593,-35,20,0.520136685,-157,-0.357115139,29.23038931,-36.14742495
301,581,0.194776666,893,35058.98305,26,47,0.772272394,-269,2.184076081,133.4757218,31.77837442
302,217,0.329265316,181,39745.08475,-27,48,0.449841347,-253,0.049846133,71.95809056,-25.01586527
303,126.5,0.297778863,76,8157.288136,-35,24,0.521601172,-177,-0.140660495,37.80157249,-35.25213571
304,348,0.273126678,295,31761.35593,-25,48,0.651940444,-401,0.315461654,84.28527598,-15.55064681
305,79.5,0.318037588,45,3644.745763,-34,15,0.510861606,-114,-0.086680336,22.86761049,-33.69123749
306,155.5,0.281181352,131,8677.966102,-28,24,0.61801318,-180,0.0922945,38.71827632,-27.65731023
307,513.5,0.169392238,752,32455.59322,-21,37,0.834268977,-275,2.360301389,103.713179,-17.46448621
308,1308,0.097388333,2047,130516.6102,-146,129,0.829631438,-569,2.88326008,440.0174761,-6.316817183
309,589,0.197461557,928,40092.20339,23,49,0.76641445,-250,2.214830995,138.8885405,26.90285575
310,189,0.300951916,105,18570.84746,-25,33,0.546741518,-273,-0.728719922,56.85161398,-32.22943617
311,162.5,0.308762509,173,8157.288136,-1,27,0.567244325,-152,-0.06958264,41.71574406,-2.320966561
312,89.5,0.315108616,89,5553.898305,16,17,0.525018306,-90,-0.269978337,24.48507842,15.00976324
313,99.5,0.315840859,84,4686.101695,-16,20,0.487185746,-115,-0.091462934,29.2958572,-16.21308274
314,93.5,0.309982914,103,4165.423729,23,20,0.469123749,-84,-0.348311562,29.52686794,20.86185013
315,177,0.29484989,180,9719.322034,0,34,0.522821577,-174,-0.029983999,52.46512794,0.328533073
316,114.5,0.325115938,105,5901.016949,-1,26,0.445447889,-124,-0.2578198,37.29923638,-3.758847938
317,245,0.305833537,228,13190.50847,3,41,0.580424701,-262,-0.10865786,63.69240512,1.491579204
318,181.5,0.246765926,65,18050.16949,-24,18,0.812301684,-298,-1.080828883,32.09002386,-28.30607762
319,189,0.265560166,226,13537.62712,12,23,0.718330486,-152,0.566232419,38.40409888,13.97339517
320,705.5,0.264339761,647,58836.61017,-15,84,0.733707591,-764,-0.502334383,143.1453336,-21.46424213
321,219.5,0.335367342,189,31587.79661,-19,48,0.463265804,-250,0.065220798,69.81860933,-16.65584574
322,260,0.306077618,239,12149.15254,-7,42,0.585794484,-281,-0.08711291,65.1804317,-7.760556505
323,255,0.304124969,245,18223.72881,13,52,0.48352453,-265,-0.140613718,77.07497599,12.01366854
324,316.5,0.298267025,327,15620.33898,6,58,0.53526971,-306,-0.056763556,91.16599117,6.03539175
325,87.5,0.288015621,80,5901.016949,2,13,0.642177203,-95,-0.03379503,20.67530342,2.891872102
326,215,0.290700513,182,8504.40678,-40,39,0.532096656,-248,0.068470121,62.59034164,-40.00488162
327,152,0.288503783,97,7810.169492,-29,24,0.613619722,-207,-0.564748326,39.51845244,-34.71320478
328,457,0.188918721,637,28463.72881,-15,38,0.782767879,-277,1.951900314,103.8681331,-13.15670002
329,528.5,0.148401269,769,38183.05085,-78,54,0.782523798,-288,2.307537942,143.9565411,-38.85940932
330,418,0.265804247,412,43389.83051,-16,50,0.708079082,-424,0.285674776,89.12769844,-9.058579448
331,342.5,0.252867952,326,30199.32203,-13,45,0.665853063,-359,-0.573629811,82.16169337,-19.66975836
332,164.5,0.299243349,129,7983.728814,-8,27,0.581889187,-200,-0.21618386,41.6729581,-10.48547718
333,88,0.335123261,80,4165.423729,2,17,0.506956309,-96,-0.12157057,24.38569462,1.451549915
334,126.5,0.326824506,109,6421.694915,-5,29,0.446424213,-144,-0.278847229,41.64152871,-9.117647059
335,135.5,0.30900659,104,9198.644068,-4,25,0.546741518,-167,-0.216485858,37.3526324,-4.336587747
336,178.5,0.305589456,201,21521.35593,23,31,0.557969246,-156,-0.025971536,47.72269237,23.21039785
337,171,0.330729802,132,14405.42373,-11,38,0.456187454,-210,-0.133279283,54.60393444,-11.99340981
338,209.5,0.31608494,179,6942.372881,-20,40,0.512082011,-240,0.080856666,61.76611714,-16.4581401
339,100,0.323407371,103,5901.016949,0,21,0.477910666,-97,0.020835327,30.39526239,0.781547474
340,375.5,0.136929461,242,21694.91525,-7,31,0.867219917,-509,-1.738145727,74.83737877,-9.065413717
341,87.5,0.304124969,102,5380.338983,13,17,0.512814254,-73,0.041079282,26.06481173,13.31828167
342,229.5,0.316817183,248,31934.91525,23,43,0.522089334,-211,-0.112788443,64.53259626,22.89773005
343,187.5,0.30192824,123,12322.71186,-68,35,0.53771052,-252,-0.19954826,51.80930576,-72.59604589
344,178.5,0.318769832,192,9545.762712,-14,29,0.58018062,-165,0.188677706,45.24907033,-12.37759336
345,147,0.305833537,166,9545.762712,22,30,0.495484501,-128,0.066407115,46.52733621,23.18086405
346,181.5,0.304369051,244,36447.45763,57,38,0.485233097,-119,-0.048595124,57.07758464,54.94630217
347,203,0.314620454,204,29678.64407,13,43,0.469123749,-202,-0.091080585,63.21867112,12.05687088
348,154.5,0.290212351,140,16488.13559,-10,25,0.575787161,-169,0.20556758,40.32232797,-8.256773249
349,251.5,0.264583842,198,6768.813559,7,41,0.59897486,-305,-0.299624035,66.382795,7.294605809
350,232.5,0.338052233,219,23430.50847,-7,51,0.464486209,-246,-0.036890605,73.22227105,-9.123505004
351,159,0.267024652,136,7289.491525,-16,22,0.659018794,-182,-0.021709161,38.39336509,-17.02782524
352,155.5,0.28533073,147,7115.932203,-6,30,0.523065658,-164,-0.062277948,46.52297005,-5.089089578
353,259.5,0.301195997,219,39918.64407,-16,42,0.586038565,-300,-0.109202905,66.13041021,-17.1969734
354,220,0.292653161,186,15620.33898,-3,38,0.567244325,-254,-0.056338693,59.37134312,-2.285818892
355,128.5,0.338052233,132,16835.25424,11,28,0.461313156,-125,-0.055996176,39.01986988,10.95972663
356,178,0.283866244,193,12496.27119,27,32,0.545521113,-163,0.029337722,49.21683038,28.16060532
357,104,0.340737125,94,5033.220339,-2,23,0.457407859,-114,-0.207617487,33.38072804,-4.462533561
358,159,0.294605809,151,6074.576271,-7,28,0.554552111,-167,0.022630867,44.14526697,-7.343910178
359,1097.5,0.314376373,1048,95284.0678,-60,211,0.520136685,-1147,0.172620486,315.0364348,-21.07859409
360,390,0.27117403,355,36447.45763,9,59,0.62265072,-425,-0.064338435,103.5997103,6.609470344
361,232.5,0.270441787,188,5901.016949,-9,37,0.613863803,-277,-0.240911429,60.32501052,-8.744691237
362,159,0.23822309,193,10413.55932,-14,25,0.615084208,-125,1.131705722,44.62942535,-9.623627044
363,340,0.267268733,209,51026.44068,-15,37,0.732243105,-471,-0.383858901,67.65910472,-16.7915548
364,212.5,0.305345375,198,17876.61017,-12,34,0.593605077,-227,-0.012630216,52.4575313,-12.6189895
365,182,0.279960947,99,8504.40678,-6,30,0.574566756,-265,-0.952197544,54.42308586,-16.29777886
366,182.5,0.298267025,170,9198.644068,-14,32,0.564803515,-195,0.000418382,48.6329195,-15.85770076
367,116.5,0.316573102,144,5033.220339,28,24,0.496704906,-89,-0.058368324,34.21294096,28.35513791
368,98.5,0.278984623,49,6768.813559,-40,16,0.585306322,-148,0.078583949,26.19990104,-39.81742739
369,484.5,0.227971687,727,41133.55932,-17,56,0.728337808,-242,1.54837214,112.6577021,2.022943617
370,86,0.304613132,75,6074.576271,-7,16,0.527703197,-97,-0.186670859,25.0479976,-7.480839639
371,195,0.282645838,288,19091.52542,-11,18,0.833780815,-102,0.826794788,29.1472298,-9.98828411
372,608,0.308762509,540,32455.59322,-42,115,0.521601172,-676,0.217685829,186.0740227,-30.07932634
373,242,0.304857213,236,19265.08475,1,46,0.52819136,-248,0.021570403,66.89802075,-0.335367342
374,70,0.329021235,94,4686.101695,29,16,0.43397608,-46,-0.123330115,23.36365639,28.80375885
375,736,0.118867464,1116,123400.678,-112,69,0.821576763,-356,2.661112796,223.6234354,-51.76470588
376,191.5,0.299243349,153,17355.9322,-30,33,0.562362704,-230,0.011306303,49.89204235,-28.5340493
377,164,0.300463754,160,9545.762712,-7,28,0.55894557,-168,0.034661968,45.19233326,-6.658286551
378,193,0.294117647,157,9372.20339,-44,34,0.563094948,-229,0.032087859,53.08957153,-44.78081523
379,172,0.305589456,157,19612.20339,-6,31,0.543812546,-187,-0.146643818,46.05638296,-7.415670002
380,83.5,0.310226995,106,3818.305085,24,16,0.503051013,-61,-0.0367164,24.26002643,22.91847693
381,211.5,0.335611423,174,11454.91525,-45,53,0.406394923,-249,0.318929464,75.84948488,-37.65608982
382,75,0.326580425,31,6421.694915,-38,17,0.453502563,-119,-0.097885088,24.19173621,-38.07859409
383,149,0.30192824,151,12496.27119,13,30,0.492067366,-147,-0.112428202,46.9231061,10.87307786
384,71.5,0.310471076,25,3991.864407,-41,13,0.550402734,-118,-0.053117291,19.27916904,-41.12594581
385,518,0.270685868,583,33496.94915,29,83,0.595069563,-453,-0.100679262,142.3319626,22.62338296
386,81,0.315108616,92,10587.11864,30,15,0.531120332,-70,-0.471954855,23.62634217,27.86648767
387,63,0.320234318,63,7115.932203,0,15,0.440078106,-63,0.013766069,20.69172525,0.35855504
388,242,0.292653161,308,20480,57,38,0.607029534,-176,0.034133379,60.62814454,55.12545765
389,265,0.294605809,271,10587.11864,-37,48,0.538198682,-259,0.389915429,75.69043147,-33.78789358
390,275,0.318525751,259,12496.27119,6,59,0.460092751,-291,-0.061710753,88.11481915,5.626311936
391,292,0.23822309,156,20653.55932,-24,31,0.727605565,-428,-0.840044775,64.18704286,-31.93483036
392,105,0.318037588,104,5553.898305,-4,22,0.480351477,-106,0.047148443,30.58936975,-4.507932634
393,167,0.29948743,125,10587.11864,-41,28,0.586282646,-209,-0.404665451,42.94312412,-44.61020259
394,233.5,0.286062973,240,8504.40678,-2,40,0.571637784,-227,0.069656496,63.6263921,-2.58018062
395,232.5,0.294605809,263,23430.50847,12,42,0.551379058,-202,0.031397651,65.52834301,12.86599951
396,237,0.305345375,291,25860.33898,56,49,0.484256773,-183,-0.007890063,71.58952321,54.50524774
397,401.5,0.193556261,206,21694.91525,23,33,0.820112277,-597,-1.952871741,78.95458938,12.34830364
398,87,0.318769832,70,7115.932203,-8,17,0.506468147,-104,-0.097141412,25.64917917,-8.68635587
399,93.5,0.332194289,123,7115.932203,29,21,0.458628265,-64,0.083647167,28.62507053,28.57041738
400,1344,0.232365145,1793,138847.4576,-90,158,0.693922382,-895,1.449656597,362.024437,-7.872345619
401,1196.5,0.21454723,1555,120450.1695,-94,155,0.674151818,-838,1.359333283,380.1966298,22.10178179
402,651.5,0.350744447,568,48075.9322,70,183,0.386624359,-735,-0.51897943,293.4690918,2.03539175
403,1170,0.369782768,999,170608.8136,115,392,0.292164999,-1341,-0.483042435,552.7278187,-6.579692458
404,394.5,0.299975592,348,23430.50847,-47,70,0.546009275,-441,0.15216413,108.5268074,-44.60117159
405,561.5,0.360019526,585,60051.52542,29,139,0.433243837,-538,-0.102063764,225.6541094,25.63216988
406,693.5,0.31120332,595,63175.59322,79,171,0.407859409,-792,-0.66938736,299.2924877,-8.051501098
407,1449,0.209665609,1059,141971.5254,210,201,0.649987796,-1839,-1.378013414,494.2070387,43.27141811
408,887.5,0.298022944,951,72894.91525,-61,169,0.527215035,-824,0.522063913,264.4417132,-22.69001709
409,1544.5,0.329265316,1565,156029.8305,42,280,0.544544789,-1524,-0.382352474,415.4053229,-12.17622651
410,1067.5,0.297778863,1033,101705.7627,-37,172,0.587503051,-1102,-0.006265354,272.9522934,-39.73785697
411,674.5,0.346350989,784,59877.9661,40,146,0.453502563,-565,0.277692872,188.7956478,47.55748108
412,470,0.342933854,420,39050.84746,21,125,0.384671711,-520,-0.420785616,184.9855449,-16.20576031
413,948,0.308518428,648,69250.16949,140,223,0.425921406,-1248,-0.864776563,374.6365917,25.53502563
414,606.5,0.281669514,624,80184.40678,-11,102,0.569441054,-589,0.048988026,177.299928,-5.603368318
415,1370,0.223334147,1000,151864.4068,175,192,0.630949475,-1740,-1.382500908,446.7597622,44.73395167
416,487,0.234561875,513,38183.05085,27,62,0.685135465,-461,-0.606176696,139.822585,-10.7503051
417,353.5,0.304613132,253,31240.67797,-36,57,0.58481816,-454,-0.544191658,95.51183818,-52.66951428
418,1165.5,0.339028557,1214,115590.5085,-57,268,0.45521113,-1117,0.250554473,398.5725975,-3.600195265
419,1464.5,0.266292409,1088,187096.9492,153,245,0.583353673,-1841,-1.066650875,452.9977307,45.11081279
420,1078.5,0.383207225,1050,80878.64407,78,380,0.313155968,-1107,-0.259295477,518.9618504,-14.87551867
421,1465,0.310471076,1502,166616.9492,-85,250,0.545032951,-1428,0.313336574,512.9813522,1.064681474
422,427,0.263363437,399,42869.15254,4,69,0.584574079,-455,-0.589169438,128.4270475,-18.64657066
423,421,0.270441787,243,30720,-21,64,0.613619722,-599,-0.876665947,113.5221962,-33.90651696
424,1814.5,0.245789602,1762,188138.3051,96,235,0.663412253,-1867,-0.868456762,493.0387502,-14.27239443
425,534.5,0.329997559,486,50505.76271,-11,141,0.397363925,-583,-0.203954559,198.6262992,-33.09445936
426,335.5,0.309982914,287,39224.40678,-31,74,0.447644618,-384,-0.398195215,109.6259597,-48.44471565
427,1093,0.270929949,1349,96846.10169,-5,182,0.582865511,-837,0.852691704,323.8115815,57.41933122
428,646,0.38686844,683,58663.05085,-60,194,0.313888211,-609,0.362776884,253.3707427,-0.522089334
429,490.5,0.296802538,586,31761.35593,15,100,0.492799609,-395,0.386798543,150.3565067,21.68025384
430,527.5,0.350012204,524,58315.9322,-98,132,0.402245546,-531,0.42562191,187.5380892,-67.33414694
431,961,0.301440078,1023,124094.9153,-23,160,0.595801806,-899,0.269769309,233.2167648,-21.95411277
432,1711.5,0.254332438,1556,340696.9492,84,281,0.577251648,-1867,-1.043538411,556.6655271,-10.08469612
433,1448.5,0.289724188,1068,318828.4746,141,284,0.508420796,-1829,-0.920354885,489.5385092,42.42543324
434,820,0.356846473,734,73242.0339,23,203,0.41981938,-906,-0.34828773,283.809695,-10.59360508
435,1392.5,0.205028069,2047,98234.57627,-130,182,0.667317549,-738,1.745766801,377.5422508,-11.2123505
436,474.5,0.268733219,370,37835.9322,51,75,0.604100561,-579,-0.925147581,133.1319755,35.76909934
437,473.5,0.289724188,524,40439.32203,-16,78,0.589943861,-423,-0.017998242,125.4656603,-28.58310959
438,1012,0.318037588,967,78101.69492,-69,177,0.54478887,-1057,0.489575885,292.7562954,-15.13888211
439,689.5,0.333902856,721,69597.28814,-69,163,0.420551623,-658,0.292214663,250.7933918,-38.00292897
440,1409.5,0.187942397,950,150302.3729,153,197,0.635587015,-1869,-1.580058302,493.5849448,-8.12252868
441,1848,0.324139614,2047,127739.661,-116,401,0.463265804,-1649,0.448309936,612.5505062,3.377105199
442,976.5,0.274347083,1236,91118.64407,-67,166,0.574810837,-717,1.010728652,310.5808641,16.2870393
443,619.5,0.327068587,506,43563.38983,84,164,0.381254577,-733,-0.66161471,271.1481106,-3.560165975
444,585.5,0.147913107,873,53976.94915,-39,68,0.79716866,-298,2.26767911,160.1762431,-5.43153527
445,450,0.322675128,439,28810.84746,19,100,0.445936051,-461,-0.299522994,144.3874355,6.621186234
446,615.5,0.324627776,622,55191.86441,49,134,0.473273127,-609,-0.236967496,251.345406,20.37124725
447,1023,0.291432756,980,72547.79661,-2,161,0.627044179,-1066,0.11436533,230.8450713,-9.378813766
448,1074.5,0.283134,1088,93201.35593,5,152,0.647058824,-1061,-0.110248954,251.1231346,-2.8159629
449,519,0.224554552,314,36273.89831,13,61,0.718330486,-724,-1.222263473,130.2674547,-3.424945082
450,707,0.305589456,769,64216.94915,-108,147,0.487917989,-645,0.698109135,269.8916137,-31.1376617
451,1672.5,0.260678545,1482,209138.9831,31,265,0.589455699,-1863,-0.735544813,494.8727207,-16.37173542
452,720,0.280937271,860,58836.61017,-63,132,0.532096656,-580,0.87241967,247.0651961,-4.022455455
453,1670.5,0.247986331,1469,415153.8983,140,260,0.593605077,-1872,-1.157531704,593.7607368,-9.679521601
454,884,0.277031975,919,102400,-98,131,0.592872834,-849,0.767106808,279.388854,-36.17280937
455,624.5,0.281669514,730,50505.76271,-26,109,0.565047596,-519,0.883422753,192.9032614,20.6460825
456,1128.5,0.333902856,1367,80705.08475,-11,261,0.433731999,-890,0.573022175,384.8540327,56.17622651
457,375.5,0.319257994,362,21868.47458,-8,77,0.491335123,-389,-0.147063561,109.6832696,-13.02587259
458,763,0.32316329,683,56753.89831,78,194,0.397852087,-843,-0.617920808,328.647977,-4.376617037
459,1343.5,0.33487918,1158,150823.0508,104,286,0.475958018,-1529,-0.647589778,433.8496604,-5.947034415
460,550,0.358799121,584,52241.35593,-38,159,0.319013913,-516,0.374874256,200.0418311,-15.07322431
461,246,0.378813766,253,15273.22034,-29,83,0.293141323,-239,0.303488764,106.1540361,-7.891139858
462,651.5,0.246033683,776,75845.42373,-8,99,0.635587015,-527,0.832144335,168.962402,2.512326092
463,1609,0.225042714,1346,210006.7797,176,267,0.582133268,-1872,-1.256881097,590.9616136,-5.442762997
464,563,0.322675128,632,33149.83051,26,127,0.44813278,-494,-0.024357121,188.4307339,10.47498169
465,1536,0.335123261,1408,160368.8136,110,367,0.428850378,-1664,-0.44806473,526.5894537,36.89748597
466,1239,0.267512814,1624,148740.339,-57,218,0.565535758,-854,1.091889428,379.0096626,6.992433488
467,852.5,0.33024164,570,63002.0339,89,218,0.388821089,-1135,-0.753019486,351.0099451,-18.52013669
468,335.5,0.235050037,398,34017.62712,-65,65,0.518428118,-273,1.107439663,106.4089046,-53.46375397
469,554.5,0.374664389,584,65084.74576,-160,177,0.321942885,-525,0.554282034,281.2683123,-54.37759336
470,1501,0.257749573,1460,167311.1864,18,256,0.561874542,-1542,-0.009611639,467.1163569,28.67171101
471,745.5,0.32780083,741,73415.59322,-65,135,0.553087625,-750,0.240083866,182.4748091,-62.47815475
472,1330.5,0.342201611,1629,215560.678,-82,338,0.392726385,-1032,0.533908868,477.4092179,13.61825726
473,1644,0.293385404,1420,217816.9492,95,322,0.507200391,-1868,-0.79670086,535.7867842,-11.2548206
474,592.5,0.356602392,613,74456.94915,-13,171,0.348547718,-572,0.192447289,222.6463829,2.630705394
475,1047.5,0.33243837,642,99102.37288,51,269,0.362704418,-1453,-0.755748054,363.1880746,-2.402489627
476,984.5,0.316817183,1018,89209.49153,-28,203,0.486209422,-951,-0.049577179,293.4278053,-33.11911155
477,739.5,0.289236026,639,62134.23729,45,117,0.597022211,-840,-0.925049498,214.3411554,-15.36026361
478,690,0.255064681,607,69423.72881,11,91,0.655113498,-773,-0.995677573,191.328754,-40.77178423
479,342,0.246521845,430,43563.38983,-37,65,0.525506468,-254,1.103766207,123.9102916,-4.408835733
480,492,0.329509397,555,69076.61017,-30,117,0.449109104,-429,0.454594969,193.1754314,-15.00781059
481,1336,0.293385404,1445,100317.2881,-100,230,0.54942641,-1227,0.506536497,452.96756,6.17207713
482,512.5,0.286551135,640,55712.54237,5,99,0.515743227,-385,0.242674942,147.793448,-5.652672687
483,1580.5,0.308274347,1308,220073.2203,124,383,0.419575299,-1853,-0.73815502,591.5538188,28.47888699
484,355,0.263363437,462,18744.40678,-34,53,0.619233586,-248,1.187279806,105.2214194,-11.38760068
485,590.5,0.36563339,591,72374.23729,-22,164,0.361728094,-590,0.288863826,213.5402346,-5.672687332
486,523.5,0.258481816,351,38183.05085,-38,75,0.632658042,-696,-0.88785374,140.2717409,-59.40444227
487,1464,0.347327313,1405,145616.2712,-114,282,0.506956309,-1523,0.180865666,540.2457178,-21.5508909
488,1146.5,0.310226995,1381,209659.661,-185,252,0.463265804,-912,0.75177022,481.1300238,3.958018062
489,945.5,0.343666097,1058,61092.88136,-21,187,0.508908958,-833,0.216552384,259.2562925,3.282157676
490,1725,0.275323407,1565,200287.4576,58,267,0.589455699,-1885,-0.7589579,547.487934,-17.42006346
491,1009.5,0.289236026,1219,86606.10169,-112,191,0.524041982,-800,0.823935797,332.262156,-33.47156456
492,852.5,0.390773737,820,60745.76271,-85,302,0.348059556,-885,0.260539819,404.8966069,-50.36490115
493,1279.5,0.202587259,1129,152037.9661,39,163,0.811569441,-1430,-0.705822321,248.4818292,9.450085428
494,401.5,0.337075909,352,29331.52542,-16,89,0.457163778,-451,0.243697804,126.2200827,-5.800829876
495,876.5,0.368318282,727,94242.71186,83,246,0.364412985,-1026,-0.472756613,332.4554179,12.87039297
496,433,0.361728094,467,27595.9322,10,113,0.394923114,-399,0.046879961,159.8330743,7.087136929
497,1359,0.270441787,1435,243156.6102,83,196,0.628264584,-1283,-0.468130248,374.0771719,30.49353185
498,1590,0.305589456,1364,176856.9492,116,324,0.489138394,-1816,-0.674033914,505.0609296,37.57188186
499,1396,0.225774957,1027,131037.2881,187,214,0.606785453,-1765,-1.34775823,478.484847,47.10007322
